name,sellingDate,size,resellPrice
"Tuesday, October 17, 2017",$606,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$670,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$670,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$530,adidas Yeezy Boost 350 V2 Zebra,14
"Tuesday, October 17, 2017",$749,adidas Yeezy Boost 350 V2 Zebra,6
"Tuesday, October 17, 2017",$583,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$720,adidas Yeezy Boost 350 V2 Zebra,6
"Tuesday, October 17, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$595,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$770,adidas Yeezy Boost 350 V2 Zebra,12.5
"Tuesday, October 17, 2017",$555,adidas Yeezy Boost 350 V2 Zebra,8.5
"Tuesday, October 17, 2017",$618,adidas Yeezy Boost 350 V2 Zebra,7
"Tuesday, October 17, 2017",$650,adidas Yeezy Boost 350 V2 Zebra,11.5
"Tuesday, October 17, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$767,adidas Yeezy Boost 350 V2 Zebra,14
"Tuesday, October 17, 2017",$665,adidas Yeezy Boost 350 V2 Zebra,6.5
"Monday, October 16, 2017",$700,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$670,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$584,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$589,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$598,adidas Yeezy Boost 350 V2 Zebra,10.5
