"","name","size","resellPrice","sellDate","day","date","sellMonth"
"72","adidas Yeezy Boost 350 V2 Zebra",10,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"73","adidas Yeezy Boost 350 V2 Zebra",10.5,581,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"74","adidas Yeezy Boost 350 V2 Zebra",10,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"75","adidas Yeezy Boost 350 V2 Zebra",9,566,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"76","adidas Yeezy Boost 350 V2 Zebra",9.5,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"77","adidas Yeezy Boost 350 V2 Zebra",14,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"78","adidas Yeezy Boost 350 V2 Zebra",10.5,621,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"79","adidas Yeezy Boost 350 V2 Zebra",11,620,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"80","adidas Yeezy Boost 350 V2 Zebra",7.5,590,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"81","adidas Yeezy Boost 350 V2 Zebra",11,609,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"82","adidas Yeezy Boost 350 V2 Zebra",8,517,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"83","adidas Yeezy Boost 350 V2 Zebra",13,700,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"84","adidas Yeezy Boost 350 V2 Zebra",4,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"85","adidas Yeezy Boost 350 V2 Zebra",8.5,561,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"86","adidas Yeezy Boost 350 V2 Zebra",8,515,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"87","adidas Yeezy Boost 350 V2 Zebra",4,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"88","adidas Yeezy Boost 350 V2 Zebra",10.5,588,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
