"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"44","adidas Yeezy Boost 350 V2 Zebra",7,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"45","adidas Yeezy Boost 350 V2 Zebra",9,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.54545454545455
"46","adidas Yeezy Boost 350 V2 Zebra",9.5,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.86363636363636
"47","adidas Yeezy Boost 350 V2 Zebra",8,521,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.36818181818182
"48","adidas Yeezy Boost 350 V2 Zebra",9,543,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.46818181818182
"49","adidas Yeezy Boost 350 V2 Zebra",4,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"50","adidas Yeezy Boost 350 V2 Zebra",6,700,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.18181818181818
"51","adidas Yeezy Boost 350 V2 Zebra",11,605,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.75
"52","adidas Yeezy Boost 350 V2 Zebra",8,542,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.46363636363636
"53","adidas Yeezy Boost 350 V2 Zebra",8,514,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.33636363636364
"54","adidas Yeezy Boost 350 V2 Zebra",10,620,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.81818181818182
"55","adidas Yeezy Boost 350 V2 Zebra",6,750,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.40909090909091
"56","adidas Yeezy Boost 350 V2 Zebra",9.5,575,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.61363636363636
"57","adidas Yeezy Boost 350 V2 Zebra",9.5,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.90909090909091
"58","adidas Yeezy Boost 350 V2 Zebra",9,566,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.57272727272727
